Pandas,Team,ID,Raw Odds,Odds Shark,Odds Shark Opponents,College Poll Archive,Bart Torvik,Neutral Site Games,BT Player Log,Scores and Odds,
Abilene Christian,Abilene Christian,abilene-christian,AbileneChristian,Abilene Christian Wildcats,Abilene Christian,,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,
Air Force,Air Force,air-force,AirForce,Air Force Falcons,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force,
Akron,Akron,akron,Akron,Akron Zips,Akron,,Akron,Akron,Akron,Akron,
Alabama,Alabama,alabama,Alabama,Alabama Crimson Tide,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,
Alabama A&M,Alabama A&M,alabama-am,AlabamaA&M,Alabama A&M Bulldogs,Alabama A&M,,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,
Alabama A&M,Alabama A&M,alabama-am,AlabamaAM,Alabama A&M Bulldogs,Alabama A&M,,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,
Alabama State,Alabama State,alabama-state,AlabamaState,Alabama State Hornets,Alabama State,,Alabama State,Alabama State,Alabama St.,Alabama State,
UAB,Alabama-Birmingham,alabama-birmingham,UAB,UAB Blazers,UAB,UAB,UAB,Alabama-Birmingham,UAB,UAB,
Albany (NY),Albany (NY),albany-ny,AlbanyNY,Albany Great Danes,Albany,,Albany,UAlbany,Albany,Albany,
Alcorn State,Alcorn State,alcorn-state,AlcornState,Alcorn State Braves,Alcorn State,,Alcorn State,Alcorn State,Alcorn St.,Alcorn State,
American,American,american,American,American Eagles,American,,American,American,American,American,
Appalachian State,Appalachian State,appalachian-state,AppalachianSt,Appalachian State Mountaineers,Appalachian State,,Appalachian State,App State,Appalachian St.,Appalachian State,
Appalachian State,Appalachian State,appalachian-state,AppalachianState,Appalachian State Mountaineers,Appalachian State,,Appalachian State,Appalachian State,Appalachian St.,Appalachian State,
Arizona,Arizona,arizona,Arizona,Arizona Wildcats,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,
Arizona State,Arizona State,arizona-state,ArizonaState,Arizona State Sun Devils,Arizona State,Arizona State,Arizona State,Arizona State,Arizona St.,Arizona State,
Arkansas,Arkansas,arkansas,Arkansas,Arkansas Razorbacks,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,
Arkansas State,Arkansas State,arkansas-state,ArkansasState,Arkansas State Red Wolves,Arkansas State,,Arkansas State,Arkansas State,Arkansas St.,Arkansas State,
Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,ArkPineBluff,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff,,Arkansas Pine Bluff,Arkansas-Pine Bluff,Arkansas Pine Bluff,UAPB,
Army,Army,army,Army,Army Black Knights,Army,,Army,Army,Army,Army,
Auburn,Auburn,auburn,Auburn,Auburn Tigers,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,
Austin Peay,Austin Peay,austin-peay,AustinPeay,Austin Peay Governors,Austin Peay,,Austin Peay,Austin Peay,Austin Peay,Austin Peay,
Ball State,Ball State,ball-state,BallState,Ball State Cardinals,Ball State,,Ball State,Ball State,Ball St.,Ball State,
Baylor,Baylor,baylor,Baylor,Baylor Bears,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor,
Bellarmine,Bellarmine,bellarmine,Bellarmine,Bellarmine Knights,Bellarmine,,Bellarmine,Bellarmine,Bellarmine,Bellarmine,
Belmont,Belmont,belmont,Belmont,Belmont Bruins,Belmont,,Belmont,Belmont,Belmont,Belmont,
Bethune-Cookman,Bethune-Cookman,bethune-cookman,BethuneCookman,Bethune-Cookman Wildcats,Bethune-Cookman,,Bethune Cookman,Bethune-Cookman,Bethune Cookman,Bethune-Cookman,
Binghamton,Binghamton,binghamton,Binghamton,Binghamton Bearcats,Binghamton,,Binghamton,Binghamton,Binghamton,Binghamton,
Boise State,Boise State,boise-state,BoiseState,Boise State Broncos,Boise State,Boise State,Boise State,Boise State,Boise St.,Boise State,
Boston College,Boston College,boston-college,BostonCollege,Boston College Eagles,Boston College,Boston College,Boston College,Boston College,Boston College,Boston College,
Boston University,Boston University,boston-university,BostonU,Boston University Terriers,Boston University,,Boston University,Boston University,Boston University,Boston,
Bowling Green State,Bowling Green State,bowling-green-state,BowlingGreen,Bowling Green Falcons,Bowling Green,,Bowling Green,Bowling Green State,Bowling Green,Bowling Green,
Bradley,Bradley,bradley,Bradley,Bradley Braves,Bradley,,Bradley,Bradley,Bradley,Bradley,
BYU,Brigham Young,brigham-young,BYU,BYU Cougars,BYU,BYU,BYU,Brigham Young,BYU,BYU,
Brown,Brown,brown,Brown,Brown Bears,Brown,,Brown,Brown,Brown,Brown,
Bryant,Bryant,bryant,Bryant,Bryant Bulldogs,Bryant,,Bryant,Bryant,Bryant,Bryant,
Bucknell,Bucknell,bucknell,Bucknell,Bucknell Bison,Bucknell,,Bucknell,Bucknell,Bucknell,Bucknell,
Buffalo,Buffalo,buffalo,Buffalo,Buffalo Bulls,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,
Butler,Butler,butler,Butler,Butler Bulldogs,Butler,Butler,Butler,Butler,Butler,Butler,
BYU,BYU,brigham-young,BYU,BYU Cougars,BYU,BYU,BYU,BYU,BYU,BYU,
Cal Poly,Cal Poly,cal-poly,CalPolySLO,Cal Poly Mustangs,Cal Poly,,Cal Poly,Cal Poly,Cal Poly,Cal Poly,
Cal State Bakersfield,Cal State Bakersfield,cal-state-bakersfield,CSBakersfield,Cal State-Bakersfield Roadrunners,,,Cal St. Bakersfield,Cal State Bakersfield,Cal St. Bakersfield,Bakersfield,
Cal State Fullerton,Cal State Fullerton,cal-state-fullerton,FullertonSt.,Cal State-Fullerton Titans,,,Cal St. Fullerton,Cal State Fullerton,Cal St. Fullerton,Cal State Fullerton,
Cal State Fullerton,Cal State Fullerton,cal-state-fullerton,CSFullerton,Cal State-Fullerton Titans,,,Cal St. Fullerton,Cal State Fullerton,Cal St. Fullerton,Cal State Fullerton,
Long Beach State,Cal State Long Beach,long-beach-state,LongBeachState,Long Beach State Beach,,,Long Beach State,Cal State Long Beach,Long Beach St.,Long Beach State,
Cal State Northridge,Cal State Northridge,cal-state-northridge,CSNorthridge,Cal State-Northridge Matadors,,,Cal St. Northridge,Cal State Northridge,Cal St. Northridge,CSUN,
California,California,california,California,California Golden Bears,California,California,California,California,California,California,
California Baptist,California Baptist,california-baptist,CaliforniaBaptist,Cal Baptist Lancers,,,Cal Baptist,California Baptist,Cal Baptist,California Baptist,
Campbell,Campbell,campbell,Campbell,Campbell Fighting Camels,Campbell,,Campbell,Campbell,Campbell,Campbell,
Canisius,Canisius,canisius,Canisius,Canisius Golden Griffins,Canisius,,Canisius,Canisius,Canisius,Canisius,
Central Arkansas,Central Arkansas,central-arkansas,CentralArkansas,Central Arkansas Bears,Central Arkansas,,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,
Central Connecticut State,Central Connecticut,central-connecticut-state,CentralConn,Central Connecticut State Blue Devils,,,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut State,
Central Connecticut State,Central Connecticut,central-connecticut-state,CentralConnecticut,Central Connecticut State Blue Devils,,,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut State,
